@relation Metric
@attribute PID string
@attribute SFT numeric
@attribute W numeric
@attribute P numeric
@attribute S numeric
@attribute B numeric
@attribute E numeric
@attribute St numeric
@attribute F numeric
@attribute G numeric
@attribute T7 numeric
@attribute T3 numeric
@attribute U numeric
@attribute A numeric
@attribute Se {M, F}
@attribute LB numeric
@attribute PF numeric
@attribute TF numeric
@attribute RHF numeric
@attribute Fi numeric
@data
57a812b9-e7e3-4569-a45e-b12fa9115e4c,0.0000,0.0000,0.1429,0.0000,3.8571,2.4286,4.5714,3.8571,2.0000,31.4143,31.3600,0,1108,M,68.3571,1.0000,0.3484,0.7160,6
9d90e1b9-3c30-4acb-98f2-88bf1fd82439,0.6800,0.0000,0.0000,0.1429,4.2857,4.4286,3.1429,2.4286,2.2857,30.7614,31.0100,0,1087,M,75.5000,0.0000,0.7226,0.6423,4
92785af7-8f7a-44ff-917a-8b1db10bd664,0.5000,0.0000,0.0000,0.1429,3.4286,2.2857,2.0000,2.0000,2.2857,30.9043,31.3033,0,1395,F,66.3571,0.7500,0.5499,0.2620,7
a8c22029-6ac7-42f8-9c6b-b5aaa32825f2,0.4700,0.0000,0.0000,0.0000,4.7143,3.7143,4.5714,3.1429,3.2857,31.1157,31.2700,0,890,M,76.2143,0.7976,0.5488,0.5986,3
3a1f435b-b0d7-411b-8e31-932d48fa52eb,0.0000,0.0000,0.0000,0.0000,3.5000,3.0000,4.0000,5.5000,4.0000,31.0200,31.0200,1,865,M,67.2500,0.0000,1.0000,0.0000,6
c5ea8c4d-0ed9-4978-bc40-3c502fd4268b,0.6300,0.0000,0.0000,0.0000,4.0000,2.0000,3.0000,3.5000,3.5000,30.6950,30.6950,1,953,F,58.5000,1.0000,0.0000,1.0000,3
3574ab7f-16d7-4f10-b422-a17e361fcda9,0.5500,0.5000,0.0000,0.0000,4.0000,3.0000,2.5000,1.5000,2.0000,30.4200,30.4200,1,852,F,61.7500,0.5000,0.4138,0.5185,7
89284c5e-595f-4354-870e-cdc2742391d4,0.0000,0.0000,0.5000,0.0000,7.0000,2.5000,2.0000,3.0000,2.0000,30.8150,30.8150,1,938,M,72.0000,1.0000,0.4138,0.5185,6
f46c3b69-eac4-454d-b50a-90da3bff389b,0.1100,0.5000,0.0000,0.0000,5.0000,3.5000,4.0000,4.5000,4.0000,31.0200,31.0200,1,866,M,75.0000,0.0000,0.9412,0.4737,3
9415f63f-4745-4914-b982-e6ae08bfa0e7,0.6300,0.0000,0.0000,0.0000,5.0000,2.0000,2.5000,3.5000,4.0000,30.5050,30.5050,1,757,M,76.0000,0.0000,0.0588,0.5263,2
f2f2d121-dbfa-452d-b1eb-f9d517fc9c9b,0.0000,0.0000,0.0000,0.0000,5.0000,5.0000,6.0000,6.5000,2.0000,31.1250,31.1250,1,845,F,57.7500,0.0000,1.0000,0.0000,8
ab5df4f5-6d30-4457-a898-ba6d179f1b31,0.1500,0.0000,0.3333,0.0000,3.6667,5.0000,4.0000,4.0000,4.0000,31.1733,31.1733,0,979,F,64.1667,0.6071,1.0000,1.0000,7
7c0f2f3d-fe3b-4af0-8c33-7d3ec1628750,0.1600,0.5000,0.0000,0.0000,2.5000,6.0000,4.0000,2.0000,4.0000,31.0400,31.0400,1,621,M,65.5000,1.0000,0.0000,0.0000,6
bdf200f5-911b-4bcd-8168-55468815ecc3,0.5200,0.3333,0.0000,0.0000,3.3333,1.6667,2.0000,2.0000,2.0000,30.8667,30.8667,0,931,M,68.3333,0.1071,1.0000,1.0000,5
3802a251-3f5a-419e-abac-0f7c45d8ac5d,0.5800,0.0000,0.0000,0.0000,4.3333,1.6667,3.0000,4.0000,2.6667,31.0800,31.0800,0,869,M,70.0000,0.0000,0.0000,0.8000,4
72bf4149-e2db-462c-9d68-d2b359dcd4a0,0.3800,0.0000,0.0000,0.0000,3.0000,5.0000,5.6667,3.3333,4.0000,31.2467,31.2467,0,855,F,61.5000,1.0000,0.0000,0.0000,3
4525b9ee-efe5-4e89-aeb9-2f249cb13968,0.3300,0.0000,0.0000,0.0000,5.0000,4.6667,4.3333,5.0000,2.6667,31.2833,31.2833,0,1560,F,65.8333,1.0000,0.0000,0.0000,2
60c0eef3-cd96-4a2e-949c-a24b4956975e,0.6700,0.5000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,2.0000,30.4350,30.4350,1,907,F,59.5000,1.0000,0.0000,1.0000,1
3dbb7ee6-6360-4424-9ac0-4b9919b9e829,0.0000,0.5000,0.0000,0.0000,7.0000,2.0000,3.0000,2.5000,1.5000,31.3250,31.3250,1,1045,F,65.0000,1.0000,0.0000,0.0000,7
ed48de21-dcd8-43e8-8904-eb7509adf8f3,0.4000,0.3333,0.0000,0.0000,2.0000,1.3333,1.3333,1.6667,2.3333,31.0400,31.0400,0,1234,F,59.8333,1.0000,1.0000,1.0000,6
dbf034c2-c6ef-4687-abbb-db08f0f3144e,0.6400,0.0000,0.0000,0.0000,3.6667,6.3333,6.3333,5.3333,4.0000,30.8633,30.8633,0,1103,F,61.1667,1.0000,1.0000,1.0000,5
26341bd4-c2c7-4028-b968-28c91ebd0ae9,0.1100,0.0000,0.0000,0.0000,4.0000,3.0000,6.5000,6.0000,2.0000,31.1550,31.1550,1,1392,M,73.5000,0.0000,1.0000,1.0000,4
e792719f-fa60-4880-beb0-0baa2ceae365,0.7000,0.0000,0.0000,0.3333,3.3333,6.0000,6.3333,2.6667,4.0000,30.7500,30.7500,0,1192,F,64.0000,1.0000,0.0000,0.0000,3
7f8d9a75-7cac-4c3b-b832-15cfd4a6e72e,0.6200,0.3333,0.0000,0.0000,4.6667,5.0000,3.3333,2.3333,3.0000,30.7467,30.7467,0,807,F,59.8333,0.6989,0.4211,0.7851,2
40799db5-752e-4782-9fde-aeedd27fc818,0.7200,0.3333,0.0000,0.0000,4.6667,3.0000,2.3333,1.3333,3.3333,30.6067,30.6067,0,842,M,79.3333,1.0000,1.0000,1.0000,1
44f01946-aa15-4c27-83d2-70ff55e835b9,0.0000,0.0000,0.0000,0.0000,3.0000,6.5000,5.5000,6.0000,4.0000,30.8700,30.8700,1,1345,F,59.0000,0.7500,0.0000,1.0000,8
f3f6d8b3-71d9-439c-91e0-dbe9f9e15436,0.3900,0.0000,0.5000,0.0000,4.5000,1.5000,1.5000,1.5000,4.0000,30.3950,30.3950,1,864,F,60.0000,0.0000,0.0000,1.0000,1
8274a224-e7d2-488b-9caa-17fcfa150a1b,0.0100,0.0000,0.0000,0.0000,3.5000,6.0000,4.5000,3.0000,0.0000,31.0350,31.0350,1,1042,F,68.2500,1.0000,1.0000,1.0000,7
d0a0012c-59cc-462d-9b00-275c2e6bd754,0.0000,0.0000,0.0000,0.0000,3.7500,5.0000,4.5000,4.7500,4.0000,31.3350,31.3767,0,981,F,64.1250,0.3111,1.0000,1.0000,6
5c174ba1-0315-42ab-bcbf-cb6d5ab73d83,0.2200,0.0000,0.0000,0.0000,3.2500,2.0000,2.2500,3.2500,1.5000,30.8850,30.9333,0,1002,M,64.2500,0.6723,0.0000,0.9978,5
d2610928-9c02-448b-9a0a-b66c6ff05f73,0.2800,0.0000,0.0000,0.0000,3.6667,3.3333,4.0000,3.6667,2.6667,30.9033,30.9033,0,1037,M,71.6667,0.0769,0.0000,0.0000,4
370ede9b-0d25-4d69-ab65-478a98dc8f0f,0.3700,0.0000,0.0000,0.0000,5.3333,2.6667,2.3333,3.0000,1.3333,30.8633,30.8633,0,841,F,62.5000,0.8000,1.0000,0.6660,3
6235a8c8-5fb8-413a-8689-147e2f3b9c75,0.6300,0.0000,0.0000,0.0000,5.6667,3.6667,4.0000,3.6667,1.3333,30.8167,30.8167,0,1237,M,74.8333,0.4385,0.0000,0.0000,2
8bb1bcf9-64a0-4b4d-a053-877bf5ca4551,0.1800,0.0000,0.0000,0.0000,3.6667,4.3333,4.0000,3.3333,2.6667,30.8300,30.8300,0,955,F,64.3333,0.5714,0.0000,0.0000,1
be214ada-d733-4f0c-b149-96ac34efb0d6,0.4300,0.0000,0.5000,0.0000,4.0000,1.5000,1.5000,2.5000,2.0000,30.5800,30.5800,1,866,M,70.0000,0.0000,0.8571,0.5833,7
421cb3d0-b731-43be-b79b-16c4b43557c9,0.1800,0.0000,0.0000,0.0000,4.5000,4.5000,4.5000,4.5000,2.0000,30.9050,30.9050,1,1557,F,65.5000,1.0000,0.5862,0.4815,6
a16de3eb-64bb-4a6f-ad36-c1856feed6c7,0.2300,0.0000,0.0000,0.0000,2.5000,4.0000,5.0000,3.0000,4.0000,31.0250,31.0250,1,852,F,61.5000,1.0000,0.0588,0.5263,4
1ca17ae5-63ae-4b03-af54-6b01bbdbe7db,0.0000,0.0000,0.5000,0.0000,4.0000,5.5000,5.0000,5.0000,4.0000,31.0450,31.0450,1,976,F,63.7500,0.6667,0.9412,0.4737,2
9b6f889c-3cbb-449b-aee9-180cf2a66744,0.1400,0.5000,0.0000,0.0000,2.5000,1.5000,1.5000,2.0000,1.5000,30.8500,30.8500,1,1231,F,60.0000,0.0000,0.4138,0.5185,1
5d8aeaa2-c2cb-4297-b2ca-e88461bb126e,0.0600,0.0000,0.0000,0.0000,3.0000,1.5000,2.0000,3.5000,2.0000,31.1900,31.1900,1,822,F,54.0000,0.0000,1.0000,0.3158,7
30201b46-5432-44e5-b50e-dab2418a4ad2,0.1100,0.0000,0.0000,0.5000,4.0000,6.5000,6.5000,5.0000,4.0000,30.7550,30.7550,1,1101,F,61.2500,0.6667,0.0000,0.6842,6
54acc1c7-8046-4050-8b44-bf0c2c724f3b,0.0500,0.5000,0.0000,0.0000,2.0000,2.5000,1.5000,1.0000,2.0000,30.6500,30.6500,1,840,M,69.0000,1.0000,1.0000,0.0000,5
0450df3b-068a-4e8d-b5b6-212dfb34a4dc,0.1700,0.0000,0.0000,0.5000,4.5000,5.5000,6.0000,2.5000,4.0000,30.6950,30.6950,1,1190,F,64.2500,0.0000,1.0000,0.0714,3
c17add16-ed25-48b0-8f9d-73eae5c4fa1d,0.0000,0.0000,0.0000,0.0000,6.5000,2.5000,3.0000,4.0000,2.0000,30.8000,30.8000,1,607,M,77.0000,1.0000,1.0000,0.3333,2
f6687bf9-7486-4710-8d94-b1c7745d3e86,0.0400,0.5000,0.0000,0.0000,4.5000,4.0000,3.0000,1.5000,3.0000,30.7000,30.7000,1,840,M,79.5000,1.0000,0.0000,0.7500,1
7a54d97a-1fdc-48ae-b753-8e60df47c0f0,0.3700,0.0000,0.0000,0.0000,6.5000,6.5000,6.5000,5.5000,4.0000,30.8750,30.8750,1,690,F,60.2500,0.0000,0.0000,0.6842,8
907591a2-19bf-4912-822d-131beaa8135c,0.6800,0.5000,0.0000,0.0000,6.0000,4.0000,4.0000,3.5000,4.0000,30.6900,30.6900,1,837,F,62.0000,0.0000,0.0000,0.6842,7
ecdb0478-6514-4363-9463-17273d82dd6a,0.0000,0.0000,0.0000,0.0000,3.5000,6.5000,7.0000,7.0000,2.0000,31.4650,31.4650,1,673,F,60.2500,0.0000,0.0000,1.0000,6
b5deac28-5f10-4aa0-82d6-e1365fe6ae8e,0.2900,0.0000,0.0000,0.0000,2.0000,6.0000,5.0000,6.0000,4.0000,31.0750,31.0750,1,534,M,66.2500,0.0000,1.0000,0.4091,5
