@relation Metric
@attribute PID string
@attribute SFT numeric
@attribute W numeric
@attribute P numeric
@attribute S numeric
@attribute B numeric
@attribute E numeric
@attribute St numeric
@attribute F numeric
@attribute G numeric
@attribute T7 numeric
@attribute T3 numeric
@attribute U numeric
@attribute A numeric
@attribute Se {M, F}
@attribute LB numeric
@attribute PF numeric
@attribute TF numeric
@attribute RHF numeric
@attribute Fi numeric
@data
1c46b142-dc99-44e1-ae7c-a07109b83d09,0.0100,0.0000,0.0000,0.0000,5.8571,3.7143,4.5714,4.7143,3.2857,31.2157,31.5000,0,993,M,69.7143,None,0.3909,0.0000,None
1896900c-cc24-480a-a356-2722cb309fbd,0.0000,0.0000,0.0000,0.0000,5.2000,2.2000,2.8000,3.8000,2.4000,31.4300,31.7067,0,1171,M,76.4000,None,0.5101,0.6260,None
a0871656-9a44-4021-ae66-7d7686366bb6,0.5700,0.0000,0.0000,0.0000,4.2857,3.5714,4.1429,4.8571,2.7143,31.3543,31.8133,0,749,F,65.6429,None,0.2106,0.2301,None
293bdac1-8f8e-4be5-80c9-2956c7330250,0.4300,0.0000,0.0000,0.1429,6.2857,5.5714,4.8571,3.2857,2.1429,30.9271,31.2467,0,986,F,62.0000,None,0.2588,0.8000,None
fa382d92-80fb-4c0a-b37a-91e6b004abab,0.6200,0.0000,0.0000,0.0000,4.2857,3.8571,3.8571,4.0000,1.4286,31.1786,31.2500,0,667,M,72.0000,None,0.4990,0.5284,None
09ee1210-189c-49e9-a1f9-74788748999a,0.7600,0.0000,0.0000,0.1429,4.7143,3.1429,4.1429,4.4286,1.7143,31.3586,31.5133,0,1385,F,65.3571,None,0.4346,0.4216,None
d6f0f89e-c8dc-4dad-81f6-ae72c7a4d96f,1.1300,0.0000,0.0000,0.0000,4.7143,3.0000,3.1429,3.7143,2.2857,30.8886,31.2967,0,1385,M,70.0714,None,0.2903,1.0000,None
e9b7168a-9ed6-4d12-a310-4d42eccc5d09,0.9300,0.0000,0.0000,0.1429,4.0000,1.1429,1.5714,2.2857,3.0000,31.0343,31.3667,0,1000,M,65.8571,None,0.5544,0.7714,None
f84f2384-1c86-4c25-a69f-a0865d57e889,0.6200,0.0000,0.0000,0.0000,4.0000,4.4286,4.4286,4.5714,2.2857,31.2783,31.5750,0,973,M,79.5714,None,0.5309,0.4748,None
a4e74260-3b8b-4b9e-9f46-178fc4f32a67,0.0000,0.0000,0.0000,0.0000,4.3333,4.0000,4.6667,5.0000,1.0000,31.6567,31.6567,0,856,M,70.1667,None,0.4253,0.4730,None
35d48e3c-b5f2-4f92-a6da-bf52b20dccf9,0.8200,0.0000,0.0000,0.0000,4.7143,5.7143,5.5714,3.8571,1.0000,31.3900,31.5700,0,823,F,60.4286,None,0.4275,0.2785,None
1b564ff8-1cb6-4c79-a6cc-22889bb76219,0.8500,0.1429,0.0000,0.0000,4.8571,5.1429,4.0000,3.0000,1.4286,30.9929,30.9267,0,756,F,66.1429,None,0.6491,0.6340,None
54efa350-a8c6-4c38-9780-671d9a63188d,0.2400,0.0000,0.0000,0.0000,4.7143,5.7143,5.5714,4.8571,1.5714,31.3071,31.7233,0,1388,F,55.3571,None,1.0000,0.3864,None
37d07e7e-c5fd-4aa3-a487-754495b18fcb,0.0300,0.0000,0.0000,0.0000,4.5714,5.0000,5.2857,4.1429,2.7143,31.2029,31.2867,0,753,M,65.8571,None,0.5778,0.4411,None
79b30510-07e9-46f1-86d8-28813133bd4c,0.1900,0.0000,0.0000,0.0000,3.4286,4.7143,5.2857,4.2857,1.1429,31.0243,31.1533,0,1073,M,79.4286,None,0.1878,0.3149,None
8834f720-181f-47ea-af61-d40cb0f4e083,0.3100,0.1429,0.0000,0.0000,4.7143,3.0000,2.5714,3.7143,2.8571,31.1486,31.3933,0,974,M,69.3571,None,0.7810,0.3173,None
eae6b6db-b2e7-4406-bece-d48d5ba036dd,0.0000,0.0000,0.0000,0.1429,3.8571,5.1429,5.8571,4.2857,1.5714,31.4271,31.2067,0,839,F,58.2857,None,0.5008,0.2980,None
540ab46a-2052-4ce2-970e-2008ff289a65,0.4400,0.0000,0.0000,0.0000,5.0000,5.0000,4.8571,3.1429,0.4286,31.4229,31.6167,0,706,M,74.9286,None,0.5896,0.5381,None
60a7367b-2689-4a7c-b986-5ef14c020665,0.4600,0.1429,0.0000,0.0000,4.0000,4.0000,4.1429,3.5714,1.5714,31.1943,31.2833,0,884,M,69.5714,None,0.2598,0.7117,None
32778fd4-a9f5-41b9-9cae-23b9c684a5de,0.5800,0.0000,0.1429,0.0000,5.0000,5.1429,4.2857,4.7143,1.5714,31.2257,31.5800,0,886,F,50.2857,None,0.1991,0.4993,None
5e220d31-070b-4c89-b433-9588b9599826,0.7600,0.0000,0.0000,0.0000,4.4286,4.4286,3.1429,2.1429,3.4286,30.8471,31.0300,0,1374,F,68.1429,None,0.8522,0.9649,None
c97d816e-4f31-4053-be2b-847dfa296e1c,1.0300,0.0000,0.0000,0.0000,4.8571,6.1429,5.5714,4.2857,1.0000,31.0786,31.3833,0,1039,M,68.9286,None,0.6645,0.6321,None
78c1ec9f-a195-4ba9-99ed-5a859336cbc0,1.1200,0.0000,0.0000,0.0000,4.8571,3.8571,4.1429,2.4286,2.5714,30.9629,31.0267,0,1366,F,57.2857,None,0.7984,0.5947,None
079648d7-2a7c-4304-b88c-dc5215c3ccb0,0.0000,0.0000,0.0000,0.0000,3.0000,7.0000,5.5000,6.5000,1.0000,31.8450,31.8450,1,1205,M,66.5000,None,0.0000,1.0000,None
1e48c339-a8fa-43c4-bb0f-332e584709fc,0.4600,0.0000,0.0000,0.0000,4.1429,4.2857,5.4286,4.1429,3.2857,31.0743,31.5100,0,971,M,73.0714,None,0.4909,0.4025,None
9e444f94-5ae9-4a13-92b4-94bab5d3fcc6,0.4400,0.0000,0.0000,0.0000,5.8571,5.2857,4.5714,4.0000,2.8571,31.3143,31.6100,0,977,F,58.5000,None,0.7612,0.5007,None
0a83a0dd-814e-4e59-a953-0cc4dcdffb20,0.7100,0.0000,0.1429,0.0000,3.7143,2.4286,2.1429,2.8571,2.8571,31.1400,31.4933,0,866,F,61.9286,None,0.4518,0.6943,None
b5990ba8-783f-48cc-bb9a-76a2d53dfbd6,0.0000,0.5000,0.0000,0.0000,7.0000,1.5000,1.0000,1.0000,0.5000,30.9350,30.9350,1,781,M,68.5000,None,1.0000,1.0000,None
cd3ad6c3-5117-46fd-84d4-2d1afd530b04,0.4900,0.0000,0.1429,0.0000,4.2857,3.0000,3.1429,2.7143,2.8571,31.0900,31.1333,0,1085,F,62.6429,None,0.3591,0.7171,None
bda02a9b-a108-43ce-886b-c24b5fa52738,0.0000,0.0000,0.2500,0.0000,1.7500,3.2500,3.5000,3.2500,0.2500,31.6200,31.4900,0,679,F,59.7500,None,0.1280,0.5353,None
27dea455-78ee-436c-a52a-df2a5bbb225b,0.3200,0.1429,0.0000,0.0000,2.5714,5.0000,4.0000,2.5714,2.4286,31.2000,31.2300,0,1120,M,76.2857,None,0.7326,0.4703,None
2dc57496-5a18-4b5c-8cdf-6965996a93a2,0.5200,0.0000,0.0000,0.1429,3.2857,3.0000,2.7143,2.2857,2.8571,31.0629,31.1600,0,1040,F,59.8571,None,1.0000,0.6635,None
ab9a54ad-4316-40ee-b09f-e4ffb768d981,0.4800,0.0000,0.0000,0.0000,3.2857,5.7143,6.2857,5.7143,2.2857,31.1757,31.4767,0,1090,F,62.8571,None,0.5796,0.4659,None
5e552b8a-9e05-4249-8724-6a2a60343498,0.4900,0.0000,0.0000,0.0000,3.7143,2.8571,4.5714,4.1429,2.0000,31.5329,31.5333,0,1112,M,68.2143,None,1.0000,0.1641,None
4471c697-b257-4b56-b466-1e1b121557cc,0.9900,0.0000,0.0000,0.0000,3.8571,2.2857,2.8571,2.8571,2.2857,30.9650,31.2900,0,1399,F,64.7857,None,0.4007,0.8110,None
b90e53f2-7b66-4d8d-aba6-cf05555a1245,1.3500,0.0000,0.0000,0.0000,3.5714,4.2857,5.0000,3.4286,1.1429,30.8200,30.9300,0,1075,M,74.1429,None,0.6907,0.4928,None
58a4b274-7ccc-4596-a3ff-86ab8bf4e476,1.0600,0.0000,0.0000,0.1429,6.2857,5.5714,4.8571,3.2857,2.1429,30.9271,31.2467,0,989,F,62.0000,None,0.0128,0.6298,None
5621e75f-9ff8-4dcb-b036-60f7ca1f9426,0.0000,0.0000,0.0000,0.0000,4.3333,4.0000,4.6667,5.0000,1.0000,31.6567,31.6567,0,859,M,70.1667,None,0.0081,0.4865,None
bc06f88a-e222-4877-bebc-4da6ba107193,0.5600,0.0000,0.0000,0.0000,4.2857,3.5714,4.1429,4.8571,2.7143,31.3543,31.8133,0,752,F,65.6429,None,0.6887,0.2276,None
86502393-bdff-4a21-92d8-f4d096a78932,0.5500,0.1667,0.0000,0.0000,4.0000,1.5000,1.6667,1.6667,1.1667,30.8583,30.7033,0,818,M,74.5833,None,0.0000,0.5739,None
b137b224-f9dc-44a7-8d6f-35a9b800188b,0.0000,0.0000,0.0000,0.0000,5.8571,3.7143,4.5714,4.7143,3.2857,31.2157,31.5000,0,996,M,69.7143,None,0.8176,0.4360,None
42b42afc-06f2-462f-893b-d9eb8ec142a4,0.3200,0.0000,0.0000,0.1429,4.4286,3.7143,5.0000,3.4286,3.4286,31.1914,31.2367,0,894,M,76.2143,None,0.2747,0.6584,None
21c6bf63-1cb5-4645-8d09-14be7f6600aa,0.5300,0.0000,0.0000,0.0000,4.4286,4.5714,3.7143,2.7143,2.2857,30.9371,31.2567,0,1091,M,75.2857,None,0.0000,0.3550,None
49d0eaef-5a5d-471e-b194-8b3c924de0b5,1.1800,0.0000,0.2500,0.0000,5.0000,3.5000,4.2500,3.7500,4.0000,31.0800,31.2000,0,1453,M,73.6250,None,0.0000,0.0000,None
b7896150-de5e-49a0-ac5c-c63964dee312,0.7900,0.0000,0.0000,0.1429,3.8571,5.1429,5.8571,4.2857,1.5714,31.4271,31.2067,0,842,F,58.2857,None,0.1667,0.2748,None
88d53d5e-b6da-4e22-bdd0-0230ff04326f,0.0000,0.0000,0.0000,0.0000,3.0000,7.0000,5.5000,6.5000,1.0000,31.8450,31.8450,1,1208,M,66.5000,None,0.0000,1.0000,None
eec07802-af8c-4b50-837d-f5a9f1731a51,0.8600,0.0000,0.0000,0.0000,4.0000,4.4286,4.4286,4.5714,2.2857,31.2783,31.5750,0,977,M,79.5714,None,0.1429,0.4626,None
d0f7c1b1-3484-4bb8-b38c-ede8477c2dbd,1.0600,0.0000,0.0000,0.0000,4.7143,5.7143,5.5714,3.8571,1.0000,31.3900,31.5700,0,827,F,60.4286,None,0.0000,0.2752,None
39fe7924-3a25-4d89-9c58-716fed71cfd2,1.0000,0.0000,0.0000,0.1429,4.7143,3.1429,4.1429,4.4286,1.7143,31.3586,31.5133,0,1389,F,65.3571,None,0.3463,0.4181,None
d78173e8-8743-4d72-9059-8e20630be466,0.1900,0.0000,0.0000,0.0000,4.0000,4.2857,4.7143,3.8571,2.1429,31.2886,31.4700,0,889,M,67.9286,None,0.7727,0.6818,None
09c0cdc5-fb73-47f1-ae01-81c28e21c57c,0.0000,0.0000,0.0000,0.0000,5.2000,2.2000,2.8000,3.8000,2.4000,31.4300,31.7067,0,1175,M,76.4000,None,0.7000,0.6527,None
585c310b-0204-41c3-95f2-0f3d12c2e75a,0.2300,0.1429,0.0000,0.0000,4.7143,3.0000,2.5714,3.7143,2.8571,31.1486,31.3933,0,977,M,69.3571,None,0.8000,0.3118,None
74f6afab-354c-4624-9250-f74e8a64963d,0.5000,0.0000,0.0000,0.0000,4.7143,3.0000,3.1429,3.7143,2.2857,30.8886,31.2967,0,1389,M,70.0714,None,1.0000,0.6509,None
fe18e790-20c2-472c-8233-4f569f002de8,0.6700,0.0000,0.1429,0.0000,3.7143,2.4286,2.1429,2.8571,2.8571,31.1400,31.4933,0,869,F,61.9286,None,0.4849,0.7033,None
d3b25b26-13a0-4945-bdd8-0a96865ed37c,0.5400,0.0000,0.1429,0.0000,5.0000,5.1429,4.2857,4.7143,1.5714,31.2257,31.5800,0,889,F,50.2857,None,0.5714,0.5045,None
0a7c1932-3fb8-4de4-b4ff-22f12ebbe454,0.0000,0.5000,0.0000,0.0000,7.0000,1.5000,1.0000,1.0000,0.5000,30.9350,30.9350,1,784,M,68.5000,None,1.0000,1.0000,None
7e7eff4d-dc59-4a80-84f1-a32af1b8fda0,0.4000,0.0000,0.0000,0.0000,5.0000,5.0000,4.8571,3.1429,0.4286,31.4229,31.6167,0,709,M,74.9286,None,0.6000,0.5376,None
cc88f895-8194-4989-bd6b-1976731965b9,0.3400,0.0000,0.0000,0.1429,4.0000,1.1429,1.5714,2.2857,3.0000,31.0343,31.3667,0,1004,M,65.8571,None,0.5057,0.8220,None
